time,x,y,z,qw,qx,qy,qz
7243,0.222863,0.463721,-0.076,-0.0373875,-0.0159533,0.0282792,0.998764
7243,0.219385,0.463021,-0.0740562,0.0497138,0.0511631,-0.0737027,-0.994716
7243,0.220482,0.462216,-0.0657068,0.0695191,0.0846866,-0.12954,-0.985492
7243,0.220481,0.465128,-0.0732183,-0.0665779,-0.0124919,0.0288316,0.997277
7243,0.221977,0.464851,-0.0759983,-0.0505973,0.0125066,-0.00833175,0.998596
7243,0.222458,0.461855,-0.0732446,0.0627168,0.0278313,-0.0379742,-0.996911
7243,0.220493,0.462584,-0.0726729,0.0722298,0.0566024,-0.0755314,-0.992902
7243,0.216912,0.464527,-0.0756685,-0.0690527,-0.00718411,0.0241798,0.997284
7243,0.220064,0.466898,-0.0742703,-0.0544878,0.0069167,0.0188473,0.998303
7243,0.225172,0.461661,-0.0727437,-0.0564162,-0.013055,0.0204027,0.998104
7243,0.227796,0.460544,-0.0729546,-0.0368193,0.00765131,-0.00237289,0.99928
7243,0.217353,0.465912,-0.0773535,-0.0710741,-0.0118797,0.0179406,0.997229
7243,0.22392,0.464711,-0.0766138,-0.0420635,0.0222281,-0.0221948,0.998611
7243,0.22666,0.461663,-0.0718201,-0.0522606,-0.00350938,0.0121285,0.998544
7243,0.220695,0.462904,-0.0734238,0.06701,0.0299251,-0.0445991,-0.996296
7243,0.217157,0.462683,-0.0753037,-0.056199,-0.0215637,0.0468613,0.997076
7243,0.222718,0.464466,-0.076623,-0.0462339,0.0201476,-0.0176317,0.998562
7243,0.2224,0.463697,-0.0736121,-0.0633143,-0.0159287,0.0268155,0.997496
7243,0.222395,0.463436,-0.0710144,0.0689522,0.0264016,-0.0436777,-0.996304
7243,0.216086,0.464593,-0.0732939,0.0602877,0.0452437,-0.0766265,-0.994197
7243,0.219554,0.464729,-0.0740408,-0.0683086,-0.0107448,0.0281078,0.997201
7243,0.215166,0.4647,-0.0784026,-0.031141,-0.0172841,0.0421999,0.998465
7243,0.221939,0.461618,-0.0722275,0.0602076,0.0390133,-0.0570434,-0.995781
7243,0.21724,0.463446,-0.0734268,0.0684789,0.055624,-0.0827718,-0.992646
7243,0.214541,0.466449,-0.0760662,-0.0755778,-0.00386229,0.0241191,0.996831
7243,0.214339,0.467418,-0.0828408,-0.0136125,0.0029328,0.0232316,0.999624
7243,0.219002,0.462965,-0.0738828,0.0625513,0.0396235,-0.054809,-0.995738
7243,0.222304,0.462749,-0.0733918,-0.0617759,-0.00123208,0.012866,0.997997
7243,0.226133,0.46443,-0.0761919,-0.0439005,0.0248598,-0.0356945,0.998079
7243,0.22502,0.465165,-0.0755037,-0.0416751,0.0212224,-0.0198815,0.998698
7243,0.225785,0.460526,-0.0717175,0.0550807,0.0262014,-0.0408394,-0.997293
7243,0.220913,0.462957,-0.0734062,0.0683991,0.0259231,-0.0359198,-0.996665
7243,0.230525,0.461189,-0.0788484,-0.0215598,0.0345175,-0.05812,0.99747
7243,0.202379,0.51455,-0.0778413,-0.22173,0.102621,-0.144007,-0.95893
7254,0.194365,0.490312,-0.0799412,0.200814,-0.0330793,0.0988238,0.974061
7255,0.152325,0.500181,-0.0719302,-0.0229169,0.304397,-0.458235,0.834757
7255,0.225237,0.468272,-0.0740605,-0.0535308,0.0211683,-0.0360621,0.997681
7256,0.220364,0.466981,-0.0718237,0.084273,0.0302839,-0.034848,-0.995363
7276,0.21676,0.465967,-0.077356,0.0301592,0.0227773,-0.0400517,-0.998473
7324,0.221134,0.463805,-0.0695793,0.0654817,0.0511906,-0.0755182,-0.993665
7343,0.226784,0.46577,-0.0647263,0.0753355,0.0520425,-0.0745755,-0.992993
7377,0.216591,0.466449,-0.0754246,-0.0735569,-0.0172456,0.0248499,0.996822
7462,0.219463,0.470183,-0.0795913,-0.0383278,0.037194,-0.0381318,0.997835
7468,0.224504,0.463683,-0.0698064,0.0677148,0.0494083,-0.0603669,-0.994641
